Time_on_site,Pages_viewed,Clicked_ad,Cart_value,Referral,Browser_Refresh_Rate,Last_Ad_Seen,Purchase,ID,Date_Accessed
4.65,11.32,0,132.88,Instagram,3.11,C,1,146,2025-04-19
2.85,5.13,0,22.86,Direct,59.7,A,0,245,2025-05-18
4.36,9.26,0,60.45,Instagram,91.64,C,0,107,2025-06-06
0.5,1.39,1,123.86,Direct,95.24,D,1,289,2025-05-26
0.57,1.4,0,10.0,Facebook,165.47,A,0,179,2025-01-21
3.25,8.58,0,45.41,Google,27.9,D,0,285,2025-06-06
7.32,17.0,1,118.63,Direct,94.14,A,1,35,2025-07-26
4.57,15.68,0,148.62,Google,113.02,C,0,113,2025-06-03
5.01,16.84,0,27.96,Facebook,151.12,C,1,264,2025-07-01
6.72,13.67,0,25.77,Instagram,11.05,A,1,271,2025-02-25
2.8,8.28,0,172.62,Google,126.38,D,0,187,2025-02-28
5.71,15.14,0,65.89,Direct,125.5,B,1,28,2025-03-19
2.99,7.49,0,100.86,Direct,-11.44,C,0,200,2025-01-20
0.68,1.41,0,74.4,Direct,152.62,D,0,52,2025-06-11
4.02,13.32,1,55.24,Direct,183.07,B,1,96,2025-04-25
6.43,19.84,0,25.65,Facebook,73.39,B,1,296,2025-06-07
5.85,10.36,0,25.64,Facebook,184.99,C,0,50,2025-02-26
4.97,15.86,0,58.16,Instagram,109.71,B,0,237,2025-07-09
10.0,24.81,1,88.93,Facebook,-4.22,D,1,254,2025-05-12
6.03,13.28,0,10.0,Instagram,84.65,C,0,54,2025-05-26
7.45,14.98,1,102.87,Direct,132.73,C,1,205,2025-01-18
10.0,29.72,0,37.95,Google,116.11,C,1,253,2025-06-07
1.76,4.76,0,39.11,Direct,158.64,A,0,20,2025-05-08
2.4,4.96,0,75.68,Google,94.19,C,0,37,2025-03-15
9.36,19.6,1,89.68,Google,11.34,A,1,22,2025-05-01
3.0,6.93,0,12.68,Google,161.98,B,0,274,2025-01-15
5.07,11.39,1,80.21,Direct,83.39,A,0,23,2025-07-18
7.67,21.21,0,10.0,Instagram,208.79,A,1,207,2025-04-09
7.23,19.44,0,62.54,Direct,104.9,A,0,236,2025-06-01
9.39,20.48,0,41.43,Facebook,130.3,C,0,55,2025-07-01
8.74,14.61,1,63.74,Facebook,42.49,A,1,162,2025-05-01
7.67,14.07,0,91.59,Google,-21.62,A,0,168,2025-06-23
3.07,9.01,0,166.11,Direct,108.25,D,1,95,2025-05-21
6.99,13.99,0,31.62,Google,107.07,A,0,296,2025-07-03
5.79,14.79,0,36.57,Facebook,90.45,C,0,112,2025-03-28
1.68,2.73,0,21.37,Google,102.07,B,0,50,2025-03-02
8.54,23.05,1,16.43,Google,125.64,B,1,131,2025-01-21
7.02,24.28,0,44.42,Facebook,103.15,C,0,260,2025-04-29
5.11,9.39,0,22.59,Facebook,170.32,D,0,274,2025-07-19
4.42,12.26,0,27.56,Direct,112.93,A,0,79,2025-01-24
2.0,5.28,1,10.0,Facebook,164.05,B,0,100,2025-04-19
5.5,16.27,1,10.0,Instagram,153.1,D,1,260,2025-05-15
6.17,15.02,0,122.35,Instagram,179.22,A,0,110,2025-01-15
2.92,7.7,1,10.0,Instagram,112.56,C,0,258,2025-02-11
7.91,20.48,0,88.46,Google,170.56,A,1,249,2025-02-20
2.26,6.29,0,62.74,Direct,99.75,C,0,146,2025-01-20
0.5,1.04,0,28.84,Facebook,81.55,B,0,146,2025-07-20
7.6,19.73,0,11.89,Direct,47.66,A,0,203,2025-05-03
3.99,11.6,1,10.0,Google,54.43,C,1,109,2025-01-17
4.68,14.45,1,102.62,Google,7.02,C,1,178,2025-06-20
2.91,7.99,0,56.06,Instagram,199.01,A,0,73,2025-06-02
0.99,1.91,1,10.17,Google,129.22,B,1,147,2025-07-21
8.14,14.02,1,10.0,Google,188.26,A,0,56,2025-05-21
3.28,8.86,1,126.15,Google,73.82,D,0,16,2025-06-02
9.15,18.25,0,16.45,Facebook,35.87,B,1,264,2025-03-02
7.02,20.51,0,15.16,Google,104.25,A,0,147,2025-06-23
4.21,9.93,0,48.62,Direct,84.45,A,0,182,2025-05-01
2.29,6.87,0,36.89,Direct,156.2,B,0,104,2025-03-22
3.17,11.29,0,14.96,Facebook,89.22,A,0,44,2025-03-14
1.97,4.86,1,11.77,Google,84.04,B,0,280,2025-07-12
10.0,24.42,0,114.62,Instagram,216.27,B,1,238,2025-03-21
5.41,16.27,0,17.47,Instagram,9.09,C,0,74,2025-01-14
7.88,23.88,1,10.0,Google,85.69,A,0,297,2025-02-27
1.83,6.14,0,48.99,Google,134.3,A,0,90,2025-05-14
5.45,14.17,1,98.98,Facebook,74.03,D,0,257,2025-03-06
7.94,17.35,0,10.0,Google,75.0,C,0,14,2025-05-28
4.16,10.42,0,10.0,Google,164.43,D,0,183,2025-06-10
7.58,16.58,0,12.4,Google,207.74,B,1,94,2025-05-24
2.29,6.0,0,59.15,Google,150.9,C,0,76,2025-07-28
1.59,3.29,0,16.9,Google,66.97,A,0,112,2025-01-11
5.95,17.55,1,100.89,Facebook,188.17,B,1,120,2025-02-07
4.05,11.54,0,13.45,Facebook,137.93,D,0,68,2025-04-12
6.61,16.97,0,43.0,Google,129.12,B,1,211,2025-06-13
0.5,1.26,0,10.0,Google,19.65,D,0,274,2025-01-19
6.78,16.29,1,76.44,Google,80.46,A,1,180,2025-04-20
10.0,31.56,0,235.6,Google,157.22,A,1,210,2025-02-09
4.94,15.28,1,56.32,Google,83.85,A,0,271,2025-05-07
5.09,13.08,0,49.31,Facebook,125.06,B,0,38,2025-04-23
5.45,11.29,1,16.39,Google,106.8,B,0,133,2025-06-08
0.5,0.96,0,66.5,Facebook,119.85,A,0,55,2025-07-06
6.07,16.04,1,34.12,Direct,86.65,C,1,255,2025-07-09
0.99,2.15,0,11.62,Instagram,149.15,B,0,246,2025-04-23
3.93,10.76,1,63.01,Facebook,187.01,A,0,114,2025-07-29
8.11,18.7,0,41.4,Google,21.79,A,1,135,2025-05-18
3.16,9.13,0,128.32,Google,86.01,C,1,273,2025-04-28
6.25,16.28,0,30.43,Instagram,137.15,D,0,207,2025-04-29
7.53,22.59,1,127.91,Google,164.01,D,1,167,2025-07-21
5.7,7.88,0,80.17,Direct,62.58,A,0,5,2025-03-19
1.57,3.75,1,10.0,Google,108.72,C,1,51,2025-04-01
4.17,15.04,0,43.03,Facebook,-17.22,B,0,250,2025-07-30
9.9,12.36,1,66.7,Facebook,76.7,C,0,195,2025-04-17
0.5,1.46,0,10.0,Instagram,201.49,B,0,274,2025-04-14
4.31,11.68,0,10.0,Direct,99.6,C,0,27,2025-04-11
3.62,11.38,0,118.16,Google,2.31,C,0,65,2025-07-24
5.3,12.79,0,26.61,Google,145.14,C,0,219,2025-05-15
6.87,21.27,0,140.51,Google,95.26,B,0,118,2025-02-08
9.02,28.04,0,16.5,Google,127.29,D,1,35,2025-01-26
4.32,11.24,0,50.93,Google,119.7,C,0,60,2025-01-02
7.03,13.49,0,28.89,Google,111.34,D,0,141,2025-03-09
6.25,18.48,1,124.17,Facebook,59.45,C,1,201,2025-04-15
6.19,12.45,0,67.32,Facebook,18.89,A,1,299,2025-06-03
3.59,8.73,0,27.46,Direct,104.42,C,0,69,2025-07-12
2.51,7.45,0,69.44,Facebook,145.33,D,0,134,2025-02-02
2.25,6.85,0,70.69,Google,59.12,B,0,81,2025-06-02
3.11,7.23,0,10.0,Direct,61.48,B,0,24,2025-01-05
5.8,16.33,1,48.65,Google,123.9,D,1,229,2025-07-01
6.9,11.93,0,10.0,Instagram,194.85,B,0,83,2025-03-29
5.81,13.15,1,76.22,Google,187.07,D,0,45,2025-03-06
3.63,11.73,0,10.0,Facebook,47.04,A,0,164,2025-01-29
9.51,30.18,0,85.59,Direct,131.48,D,0,283,2025-04-30
8.8,24.94,1,56.33,Google,108.94,D,1,289,2025-02-10
4.11,10.0,1,212.15,Google,122.24,D,1,222,2025-01-15
2.94,8.6,1,10.0,Google,95.67,D,0,258,2025-03-12
5.33,13.25,0,30.71,Direct,75.22,D,0,203,2025-07-10
8.17,21.11,0,27.28,Instagram,158.3,A,1,1,2025-01-23
5.83,14.84,0,10.4,Google,53.63,D,0,3,2025-01-03
6.39,13.5,0,26.06,Instagram,115.39,C,0,84,2025-03-09
4.47,12.8,0,12.68,Google,183.6,D,0,255,2025-06-28
6.14,12.07,0,10.0,Google,99.72,C,0,55,2025-04-19
8.86,25.59,1,28.92,Google,130.16,D,1,53,2025-01-15
4.4,8.89,1,22.9,Direct,162.03,B,0,283,2025-02-23
5.36,11.46,0,35.81,Google,57.68,D,0,151,2025-05-26
5.63,6.08,0,28.68,Instagram,47.58,C,0,170,2025-07-14
5.71,13.83,0,127.0,Facebook,55.4,B,0,262,2025-06-18
1.47,3.81,0,14.96,Google,202.48,D,0,116,2025-06-18
0.5,1.46,0,103.62,Instagram,80.97,B,0,71,2025-05-03
2.45,7.73,0,10.0,Google,104.11,C,0,155,2025-02-20
5.42,9.51,1,30.21,Direct,70.13,B,0,52,2025-07-07
6.38,19.11,1,10.0,Google,60.77,D,1,100,2025-05-11
3.67,8.33,0,50.87,Google,79.16,D,0,192,2025-07-28
8.44,20.8,0,111.4,Google,158.43,B,0,36,2025-07-30
4.64,11.36,0,47.75,Instagram,116.14,B,0,129,2025-02-16
5.05,11.49,1,58.41,Facebook,126.0,A,0,87,2025-05-31
4.52,9.28,1,36.25,Instagram,78.89,C,0,289,2025-04-01
5.34,14.08,0,29.18,Direct,136.7,A,0,245,2025-01-20
6.76,19.65,0,183.41,Direct,119.65,C,0,45,2025-05-07
6.66,12.46,0,188.34,Google,33.09,B,0,244,2025-06-18
2.75,6.86,1,54.51,Google,123.4,C,1,266,2025-07-31
8.81,19.25,0,85.9,Google,48.15,C,0,120,2025-06-26
2.26,6.9,1,102.85,Direct,147.36,C,1,136,2025-07-31
5.2,14.28,1,12.39,Google,99.61,C,0,158,2025-05-17
4.31,14.04,0,81.74,Google,54.79,B,0,120,2025-03-14
2.38,4.1,0,10.0,Google,125.25,D,0,102,2025-05-20
4.81,14.52,0,50.8,Google,52.9,B,0,32,2025-05-20
3.15,8.13,0,137.07,Facebook,118.76,C,0,274,2025-03-19
5.18,11.08,0,45.27,Google,22.84,A,0,219,2025-03-28
6.01,16.49,1,21.27,Direct,113.09,D,0,278,2025-06-01
8.68,28.5,0,101.03,Direct,123.06,D,1,123,2025-05-24
5.77,19.05,0,28.99,Google,51.0,C,0,136,2025-07-09
3.47,10.11,0,91.0,Google,50.35,A,0,228,2025-06-03
4.02,8.06,0,38.23,Google,55.15,A,0,295,2025-02-08
5.35,14.2,1,10.0,Facebook,41.44,A,0,176,2025-04-30
5.23,13.98,0,13.27,Facebook,104.7,A,0,77,2025-07-09
8.65,26.99,0,75.73,Google,73.35,D,1,20,2025-05-16
8.49,20.52,0,179.22,Google,55.76,D,1,241,2025-05-07
4.1,10.29,1,142.14,Facebook,108.38,B,1,55,2025-03-04
3.63,7.89,0,34.68,Google,30.76,D,0,166,2025-07-14
0.5,1.42,0,10.29,Google,113.08,B,0,22,2025-05-13
3.63,8.68,0,10.0,Instagram,163.77,C,0,74,2025-05-13
2.55,6.62,1,29.39,Google,216.05,A,0,248,2025-04-15
4.11,9.32,1,10.0,Google,56.17,D,1,284,2025-07-30
5.98,15.09,1,112.3,Instagram,55.86,B,1,96,2025-01-29
5.44,10.67,0,51.32,Instagram,32.81,A,0,26,2025-06-01
4.93,12.71,0,65.7,Instagram,183.99,A,0,77,2025-02-10
5.5,12.09,0,17.7,Google,190.26,C,0,230,2025-05-18
4.68,13.35,0,53.62,Facebook,183.4,D,0,273,2025-03-09
5.49,18.8,0,10.0,Google,67.84,C,0,140,2025-02-15
0.5,1.46,0,15.47,Facebook,186.64,D,0,262,2025-04-09
4.33,8.39,0,94.5,Google,87.82,B,0,258,2025-07-31
4.72,10.96,1,23.24,Instagram,11.71,D,0,66,2025-06-01
4.15,7.03,0,10.43,Facebook,10.34,B,0,14,2025-04-15
4.46,11.17,0,12.7,Google,125.77,A,0,198,2025-01-04
6.76,10.9,0,52.21,Facebook,26.73,B,0,161,2025-07-24
3.5,6.66,1,43.96,Facebook,142.77,A,0,150,2025-05-17
10.0,30.48,0,10.0,Google,151.41,A,0,192,2025-04-22
6.72,19.7,0,101.04,Facebook,190.72,C,0,59,2025-02-23
4.98,8.67,0,116.8,Facebook,76.97,A,1,137,2025-01-12
4.48,10.21,0,10.0,Instagram,54.49,C,0,95,2025-05-02
4.78,13.07,0,21.4,Facebook,60.95,B,0,101,2025-01-26
2.71,7.31,0,63.53,Facebook,94.64,A,0,169,2025-02-16
4.76,8.03,0,29.52,Facebook,67.11,A,0,76,2025-06-13
5.7,14.98,0,22.1,Instagram,91.77,B,1,280,2025-02-12
6.45,14.16,0,149.97,Google,156.9,A,0,229,2025-05-18
6.45,19.99,0,19.22,Google,90.4,D,0,121,2025-05-30
4.31,10.35,0,82.8,Google,55.79,D,0,23,2025-07-20
1.46,3.91,0,22.61,Instagram,101.69,B,0,283,2025-01-06
3.33,8.14,0,35.64,Google,39.81,C,0,16,2025-04-23
9.03,25.59,1,160.99,Instagram,98.61,D,1,247,2025-01-10
7.24,15.32,0,50.74,Google,165.4,B,1,228,2025-04-29
5.92,16.79,0,20.2,Google,65.13,A,1,95,2025-05-05
3.1,9.61,1,15.92,Google,57.33,B,0,67,2025-07-08
5.01,17.12,1,34.1,Instagram,90.83,D,1,21,2025-05-24
1.86,6.13,0,48.03,Direct,206.03,D,0,56,2025-01-06
3.62,8.08,0,42.9,Direct,98.38,C,0,10,2025-05-10
4.39,12.23,0,10.0,Facebook,37.88,B,0,219,2025-02-17
4.1,11.89,0,27.1,Instagram,129.5,C,0,118,2025-03-20
7.39,20.66,0,55.96,Facebook,130.19,B,0,163,2025-07-14
1.45,4.18,0,50.39,Instagram,172.98,B,0,281,2025-01-17
2.84,7.69,0,22.07,Facebook,115.24,A,0,90,2025-05-27
1.56,3.48,0,39.82,Facebook,39.0,C,0,85,2025-01-05
1.91,4.96,0,10.0,Google,33.36,B,0,68,2025-06-03
5.31,15.52,0,10.0,Google,82.31,C,0,182,2025-05-05
1.0,2.73,0,11.16,Google,163.31,C,0,166,2025-01-29
6.88,13.44,0,16.95,Instagram,57.3,B,1,222,2025-01-08
4.38,9.03,0,69.45,Google,119.9,B,0,93,2025-05-15
5.17,11.87,1,45.35,Google,70.88,B,0,21,2025-04-23
5.81,13.92,0,10.0,Direct,120.61,B,0,22,2025-01-22
3.91,10.09,1,38.42,Direct,173.23,C,1,155,2025-01-11
7.58,15.25,0,23.56,Direct,111.96,A,1,254,2025-04-24
4.51,13.08,1,22.46,Facebook,68.82,A,1,50,2025-02-21
6.49,10.19,0,80.31,Instagram,122.13,C,0,157,2025-05-22
4.5,12.45,0,34.75,Direct,210.5,D,0,294,2025-03-27
5.73,15.77,1,10.0,Instagram,79.61,A,1,58,2025-01-06
5.7,16.08,0,12.44,Instagram,118.37,C,1,200,2025-04-29
5.62,5.44,0,18.7,Google,148.44,D,0,55,2025-04-26
2.56,4.68,0,20.69,Google,149.81,B,0,17,2025-05-25
6.09,14.15,0,25.51,Google,138.11,C,1,200,2025-01-29
4.2,10.86,0,105.46,Facebook,118.95,B,0,248,2025-05-01
6.58,16.17,0,20.38,Instagram,173.85,D,1,112,2025-01-16
0.5,1.05,0,42.63,Direct,159.39,B,0,299,2025-07-30
1.34,4.2,1,10.0,Facebook,77.37,D,1,188,2025-06-07
5.91,15.73,1,10.0,Google,122.6,B,1,257,2025-02-09
9.66,22.24,0,72.95,Facebook,117.62,A,0,176,2025-01-10
7.09,14.22,0,28.65,Facebook,80.5,D,1,6,2025-04-26
3.29,8.35,0,19.17,Facebook,0.78,A,0,69,2025-07-19
0.77,2.41,0,17.42,Direct,144.29,A,1,264,2025-04-15
6.86,17.26,1,31.37,Facebook,75.9,B,0,225,2025-01-29
4.8,11.92,0,10.0,Instagram,84.61,D,0,223,2025-05-08
6.48,16.41,0,18.84,Direct,116.36,D,0,149,2025-01-08
5.29,13.54,0,150.91,Google,54.86,C,0,207,2025-06-25
5.07,12.09,1,10.0,Facebook,122.75,C,1,115,2025-02-25
10.0,20.14,0,10.0,Instagram,169.5,A,0,256,2025-05-02
4.98,16.27,1,10.0,Direct,111.12,D,0,146,2025-05-11
4.6,12.97,0,62.46,Facebook,160.09,C,0,181,2025-06-23
4.7,16.71,0,41.99,Direct,66.87,B,0,141,2025-05-16
3.54,9.73,1,263.9,Instagram,126.94,C,0,174,2025-07-31
7.48,17.82,1,20.17,Google,96.97,A,1,68,2025-04-05
4.12,8.34,0,10.0,Google,-3.66,C,0,245,2025-03-22
6.59,15.39,0,39.23,Facebook,157.46,A,1,256,2025-04-06
5.71,10.99,0,10.35,Facebook,97.94,A,0,3,2025-02-26
8.05,28.56,1,59.96,Facebook,122.17,B,1,190,2025-02-20
6.05,15.07,0,10.0,Direct,89.79,A,0,174,2025-06-26
1.97,5.69,0,21.56,Facebook,87.35,B,0,177,2025-06-07
1.68,5.02,0,38.53,Facebook,85.96,D,0,162,2025-05-20
8.52,25.91,1,66.65,Direct,77.9,B,1,86,2025-07-29
3.48,13.13,0,78.08,Google,85.11,C,0,118,2025-05-05
1.7,4.17,0,21.57,Instagram,70.6,B,0,118,2025-03-28
3.33,8.01,1,35.4,Direct,67.73,C,1,201,2025-04-09
8.16,21.08,0,42.1,Google,41.51,B,1,190,2025-02-28
1.45,4.17,0,20.53,Google,236.16,C,0,225,2025-03-23
2.83,7.34,0,64.72,Google,67.23,C,0,13,2025-01-07
3.33,7.88,0,10.0,Direct,113.35,B,0,73,2025-01-10
1.87,4.01,0,35.73,Google,37.96,C,0,104,2025-01-13
2.04,4.31,1,28.72,Google,95.36,B,0,212,2025-02-14
1.2,3.17,1,12.95,Google,53.06,B,0,155,2025-02-07
3.85,7.7,1,13.66,Facebook,65.1,C,0,174,2025-01-18
4.11,6.55,0,22.87,Instagram,65.09,A,0,243,2025-06-23
3.29,8.42,0,97.42,Google,111.99,A,0,226,2025-05-14
0.87,2.67,1,10.0,Direct,65.45,C,0,205,2025-05-22
8.13,23.02,0,53.14,Google,179.11,A,1,91,2025-04-15
1.68,4.18,0,28.69,Direct,106.37,B,0,77,2025-04-30
5.7,15.39,0,52.76,Google,5.44,A,0,224,2025-02-04
2.31,3.88,1,16.29,Google,118.74,D,1,261,2025-03-13
6.67,14.38,1,89.07,Google,193.62,D,1,80,2025-06-09
7.39,24.67,0,10.0,Google,114.62,D,1,6,2025-06-15
2.81,8.68,1,78.57,Facebook,125.0,B,0,219,2025-07-08
0.5,1.07,0,10.0,Direct,85.36,D,0,48,2025-05-12
6.74,22.76,1,10.72,Google,130.92,D,0,223,2025-05-04
9.69,20.75,0,10.0,Google,148.71,B,1,175,2025-01-31
6.04,12.61,1,88.62,Facebook,111.95,B,0,257,2025-02-26
5.4,17.65,0,68.25,Facebook,166.52,C,0,231,2025-05-18
7.05,22.23,1,10.0,Direct,165.29,C,1,90,2025-04-28
6.91,15.25,1,118.93,Google,122.45,D,1,162,2025-05-08
2.93,7.25,0,157.77,Instagram,58.37,D,0,231,2025-03-27
3.35,7.81,0,148.44,Google,74.74,A,1,32,2025-06-10
6.53,17.96,0,10.0,Google,113.88,D,0,210,2025-02-22
4.64,15.24,1,53.06,Google,93.76,B,0,237,2025-05-15
8.29,22.93,0,10.0,Google,58.13,B,1,251,2025-04-03
3.24,7.91,1,22.56,Instagram,143.07,C,1,39,2025-07-30
6.88,12.56,0,182.36,Google,77.15,A,1,190,2025-07-29
5.86,16.92,0,51.84,Google,48.29,B,0,9,2025-02-13
4.68,8.85,0,65.64,Google,125.2,C,0,106,2025-01-21
7.94,19.11,0,186.05,Google,68.81,B,1,99,2025-01-12
6.7,19.96,0,10.0,Direct,52.27,B,0,282,2025-02-14
2.49,7.23,0,42.95,Google,104.78,C,0,298,2025-04-15
6.6,19.27,0,10.0,Direct,240.65,D,1,115,2025-02-20
8.44,24.04,1,30.3,Facebook,74.82,D,1,14,2025-07-24
4.67,12.03,1,103.98,Google,98.85,A,0,121,2025-07-03
4.38,11.61,0,10.0,Instagram,80.92,B,0,213,2025-04-07
3.33,8.47,1,36.54,Google,101.66,C,0,47,2025-01-16
4.97,13.61,0,92.5,Direct,29.34,C,0,122,2025-04-13
6.72,18.59,0,18.67,Facebook,86.38,A,1,197,2025-01-31
2.96,7.59,0,127.72,Facebook,151.62,C,0,174,2025-07-14
1.63,4.51,0,52.02,Facebook,33.95,D,0,220,2025-05-05
4.06,8.76,0,10.0,Direct,174.71,A,0,218,2025-05-22
1.55,3.64,0,53.05,Google,14.55,A,0,181,2025-03-18
6.31,16.5,1,24.42,Google,144.86,A,1,253,2025-06-06
3.93,13.62,0,10.0,Instagram,148.77,A,0,275,2025-06-12
0.61,1.69,0,130.98,Google,154.41,A,0,223,2025-07-19
4.13,10.04,0,189.63,Google,105.92,A,0,150,2025-02-19
4.52,10.8,0,74.08,Facebook,116.11,C,0,144,2025-05-16
6.12,17.59,0,93.68,Google,136.85,A,0,70,2025-01-19
4.64,11.37,0,236.3,Instagram,31.7,B,0,73,2025-03-15
9.67,27.26,0,10.0,Google,128.34,C,0,190,2025-04-21
3.7,10.21,1,10.0,Google,58.99,B,1,286,2025-07-12
4.84,9.09,0,134.38,Google,100.35,D,0,109,2025-02-17
4.74,12.98,0,44.24,Facebook,170.12,C,0,67,2025-01-21
4.29,11.73,1,27.46,Facebook,128.56,C,0,20,2025-07-21
5.36,15.52,1,10.0,Instagram,58.47,B,1,205,2025-07-25
6.35,13.22,0,10.0,Direct,179.17,C,0,42,2025-05-31
8.35,25.44,1,72.33,Google,36.17,D,1,226,2025-04-28
1.08,2.6,0,10.0,Direct,57.83,C,0,42,2025-04-09
3.72,13.01,0,28.71,Google,148.82,A,0,268,2025-03-04
3.88,13.1,0,10.0,Direct,63.71,C,0,201,2025-07-14
7.34,16.13,0,68.28,Google,135.53,A,1,294,2025-01-20
4.11,7.46,0,37.87,Instagram,133.45,A,0,164,2025-03-11
0.5,1.42,1,14.54,Google,106.06,A,1,188,2025-03-04
5.22,10.91,0,14.04,Direct,132.83,C,0,238,2025-05-29
4.92,15.11,0,44.05,Direct,75.7,C,0,233,2025-07-14
5.45,15.07,0,10.0,Instagram,65.2,A,0,147,2025-07-12
2.4,4.25,0,50.41,Facebook,93.45,C,0,98,2025-07-05
9.3,26.88,0,139.43,Facebook,99.22,C,1,110,2025-03-22
4.19,10.76,1,31.06,Facebook,53.86,A,0,282,2025-05-27
4.53,12.26,0,60.79,Google,2.95,D,0,194,2025-04-12
2.75,8.97,0,16.26,Direct,157.99,C,0,240,2025-07-27
2.67,6.51,1,37.38,Google,145.98,D,0,58,2025-07-09
1.94,5.59,0,37.17,Google,105.35,D,0,72,2025-07-07
4.02,8.84,0,24.59,Direct,59.58,C,0,63,2025-02-03
2.61,5.77,0,10.88,Google,235.1,D,0,155,2025-06-21
10.0,23.91,1,50.79,Google,153.89,B,1,167,2025-06-02
0.5,1.09,0,153.35,Google,26.09,B,1,276,2025-04-01
2.18,6.07,0,30.03,Direct,129.7,C,0,146,2025-07-27
4.0,7.35,0,10.0,Facebook,85.88,C,0,124,2025-07-09
6.68,19.48,1,21.85,Facebook,184.49,A,1,26,2025-01-22
3.97,8.4,1,57.71,Google,128.21,C,0,214,2025-04-24
6.69,17.99,0,33.98,Direct,43.61,D,0,13,2025-04-18
2.53,4.83,0,18.34,Google,39.48,A,0,130,2025-04-29
5.15,14.1,1,96.72,Instagram,33.19,C,0,163,2025-02-04
9.36,28.47,0,47.88,Google,108.79,B,1,148,2025-03-31
2.58,6.46,1,107.99,Instagram,17.16,B,1,182,2025-01-15
6.05,19.81,0,181.0,Google,-36.18,D,1,28,2025-07-29
5.52,13.41,0,46.77,Google,75.77,B,0,31,2025-02-14
0.5,1.35,1,10.83,Instagram,39.16,A,0,123,2025-04-25
3.53,7.19,0,43.3,Instagram,81.52,B,0,162,2025-07-27
7.83,21.29,0,10.0,Facebook,-7.54,C,1,39,2025-05-27
5.34,11.83,0,76.8,Google,94.1,A,0,199,2025-06-04
1.97,4.21,1,10.0,Direct,100.59,A,0,146,2025-05-06
6.73,22.13,0,32.62,Direct,42.56,D,1,90,2025-05-21
3.8,7.09,0,63.32,Google,4.18,B,0,157,2025-07-31
5.9,14.41,0,128.65,Google,96.02,C,0,89,2025-07-30
5.94,16.97,1,113.1,Direct,157.43,C,1,52,2025-02-09
2.2,5.77,0,10.0,Instagram,-24.28,C,0,187,2025-01-29
6.97,10.99,0,222.2,Instagram,99.9,D,0,92,2025-01-20
2.48,6.95,0,29.64,Google,-30.65,A,0,139,2025-02-20
1.74,3.14,0,11.76,Direct,130.68,A,0,141,2025-02-21
2.79,6.36,1,189.29,Google,68.35,B,1,118,2025-01-19
4.13,9.83,0,100.29,Google,97.96,C,1,79,2025-04-16
5.27,5.48,1,51.18,Facebook,31.22,C,0,19,2025-03-28
3.07,7.51,0,47.28,Google,158.67,A,0,25,2025-02-23
6.86,19.44,0,25.88,Google,142.32,D,0,258,2025-05-17
5.63,13.59,1,10.0,Facebook,175.68,B,1,190,2025-07-12
3.26,8.46,1,43.76,Facebook,46.4,B,0,237,2025-03-18
7.22,26.22,1,32.01,Google,139.07,A,1,167,2025-03-26
7.9,24.2,0,119.45,Direct,303.4,A,0,298,2025-01-12
4.75,12.02,0,37.82,Google,26.15,B,0,115,2025-02-23
4.46,16.93,1,68.56,Instagram,93.58,D,0,67,2025-05-19
0.57,1.23,0,163.74,Direct,70.48,D,0,51,2025-04-20
3.98,10.99,0,10.0,Facebook,42.22,D,0,278,2025-07-29
